user_id,first_tran_date,location,age,gender
1085017,2019-03-23,HCMC,33_to_37,Male
47593334,2020-03-04,Other,23_to_27,Female
48340954,2019-07-30,HCMC,>37,Male
32553329,2020-02-25,HCMC,23_to_27,Female
3351415,2020-02-01,Other,18_to_22,Male
58120876,2020-08-24,Other,unknown,Male
35800440,2019-08-16,Other,28_to_32,Female
43894507,2019-07-12,HCMC,33_to_37,Male
51583637,2019-12-12,Other,23_to_27,Female
39873077,2017-09-01,Other,18_to_22,Male
40157163,2018-03-12,HN,unknown,Male
50848152,2020-03-10,Other,23_to_27,Male
43458341,2018-09-25,Unknown,unknown,Male
39882840,2018-12-27,Other,23_to_27,Male
47802823,2019-07-29,Other,23_to_27,Male
44187280,2019-02-28,Other,18_to_22,Male
37741150,2020-06-17,HCMC,unknown,Female
41274540,2019-03-18,Other,28_to_32,Male
53364992,2020-04-17,Other,23_to_27,Male
40123079,2017-12-03,Other,28_to_32,Female
45713375,2019-02-14,Other,33_to_37,Male
10259154,2018-08-24,HCMC,unknown,Male
44682468,2019-05-03,HCMC,unknown,Female
19388404,2020-12-31,Other,unknown,Male
52176035,2020-01-05,Other,unknown,Male
4081357,2019-07-08,HCMC,23_to_27,Male
52455102,2020-05-22,Other,unknown,Male
53482595,2020-02-12,Other,>37,Female
33059107,2016-12-14,HCMC,28_to_32,Male
53692989,2020-04-02,Unknown,unknown,Male
50048233,2019-12-06,Other,28_to_32,Male
45401894,2019-02-25,HN,28_to_32,Male
56580034,2020-06-17,Other,unknown,Male
55789348,2020-05-06,HCMC,23_to_27,Male
50097877,2019-12-10,HCMC,18_to_22,Male
45244162,2019-04-05,Other,33_to_37,Male
13586656,2020-01-13,Other,18_to_22,Male
40575907,2020-09-09,Other,unknown,Female
31284242,2019-08-31,Other,unknown,Male
45209823,2020-08-11,Other,23_to_27,Male
34481864,2018-02-11,Other,28_to_32,Male
54209232,2020-06-10,HN,18_to_22,Male
46221972,2019-03-07,HN,23_to_27,Male
51227391,2019-12-20,Other,unknown,Male
16638977,2020-04-03,Other,>37,Male
39668530,2017-10-01,Unknown,unknown,Male
39340639,2017-07-13,HCMC,28_to_32,Male
34178001,2019-06-21,HCMC,23_to_27,Male
46986745,2019-07-13,HN,33_to_37,Male
49361367,2019-09-17,Other,33_to_37,Female
44913715,2019-01-01,Other,>37,Female
49889530,2019-12-27,Other,33_to_37,Female
46880130,2019-04-25,HCMC,33_to_37,Male
42664938,2018-12-07,HCMC,23_to_27,Male
30503360,2020-09-04,HCMC,28_to_32,Female
41650727,2018-04-23,HCMC,23_to_27,Male
50745135,2019-12-25,Other,28_to_32,Male
53854903,2020-05-04,Other,18_to_22,Male
47950568,2019-12-11,HCMC,23_to_27,Male
44148267,2020-03-18,Other,28_to_32,Male
36515402,2017-01-01,Other,33_to_37,Male
51872632,2019-12-20,HCMC,18_to_22,Male
25862637,2019-12-21,Other,unknown,Male
39322912,2017-06-26,Other,28_to_32,Male
19785079,2017-12-03,HCMC,23_to_27,Male
39288141,2018-12-31,HCMC,28_to_32,Female
7089348,2018-01-09,Other,>37,Male
44504523,2018-12-20,HN,33_to_37,Male
54154089,2020-03-04,Other,unknown,Male
52528252,2020-02-01,Other,33_to_37,Female
27532748,2018-06-22,Other,23_to_27,Female
49607641,2019-09-27,Other,unknown,Female
27075333,2020-01-31,HCMC,18_to_22,Female
46291687,2019-05-04,HCMC,33_to_37,Male
48772066,2020-04-03,Other,23_to_27,Male
1020897,2019-08-16,HCMC,33_to_37,Male
51287985,2019-12-07,Other,18_to_22,Male
40205969,2020-07-15,Other,>37,Male
47755421,2019-07-03,HCMC,>37,Female
40260099,2019-10-15,HCMC,18_to_22,Female
57024467,2020-07-10,Other,unknown,Male
56843042,2020-07-01,Other,unknown,Male
40711059,2018-01-01,Unknown,28_to_32,Male
46216572,2019-04-22,Other,33_to_37,Male
33499621,2017-04-17,Other,28_to_32,Male
4706240,2019-12-05,Other,>37,Male
45663606,2020-01-02,Other,18_to_22,Female
33245855,2020-09-22,Other,unknown,Male
44734053,2019-04-30,Other,>37,Female
29829870,2019-08-11,Other,28_to_32,Female
45758123,2019-10-15,HCMC,33_to_37,Female
38724378,2020-03-02,HN,>37,Male
44956925,2019-01-05,HN,23_to_27,Male
50847672,2019-12-27,HCMC,18_to_22,Male
40914676,2019-10-13,HCMC,23_to_27,Female
52431474,2020-01-09,HCMC,unknown,Male
39914366,2018-11-18,HN,23_to_27,Female
59931360,2020-11-09,Other,unknown,Female
54574514,2020-04-01,Other,23_to_27,Male
4115977,2019-04-06,HCMC,>37,Female
41065244,2018-03-17,HCMC,33_to_37,Male
673257,2019-10-05,HCMC,>37,Male
54438679,2020-03-15,HCMC,unknown,Male
18563259,2019-02-16,HCMC,33_to_37,Male
57524259,2020-12-14,HCMC,33_to_37,Male
55926237,2020-05-13,HN,unknown,Male
50702272,2019-11-18,HCMC,18_to_22,Female
39839374,2017-10-01,HCMC,28_to_32,Female
54815430,2020-03-26,Other,23_to_27,Male
41668876,2019-05-22,Other,23_to_27,Male
40996808,2018-03-28,Other,28_to_32,Male
42085973,2018-06-01,Other,33_to_37,Male
44065985,2020-07-27,HN,28_to_32,Female
47967381,2019-10-11,Other,unknown,Male
58849779,2020-10-06,Other,unknown,Male
46115530,2020-03-05,Other,28_to_32,Male
35111466,2016-02-27,HCMC,>37,Female
42726086,2018-08-02,HCMC,18_to_22,Male
53924590,2020-04-08,Other,33_to_37,Male
38777108,2018-01-08,HN,28_to_32,Male
43581321,2018-10-11,HN,28_to_32,Male
23349908,2019-11-29,Unknown,28_to_32,Male
22267705,2018-07-19,Other,>37,Male
45656523,2020-02-22,Other,28_to_32,Male
60705250,2020-12-04,Other,unknown,Female
44806448,2018-12-26,HCMC,23_to_27,Female
17888043,2019-02-28,Other,33_to_37,Male
53967151,2020-07-11,HCMC,>37,Male
45866934,2019-02-28,Other,23_to_27,Female
49547782,2019-09-27,Other,23_to_27,Male
54659596,2020-04-29,HCMC,23_to_27,Female
26508740,2019-05-20,Unknown,28_to_32,Male
46569967,2020-05-14,Other,>37,Female
53139380,2020-02-11,Other,23_to_27,Female
48589522,2019-08-16,HCMC,18_to_22,Male
53365284,2020-02-27,Other,18_to_22,Female
45459574,2020-08-05,Other,unknown,Male
18272464,2018-04-30,HCMC,unknown,Male
40143872,2017-10-18,Other,23_to_27,Male
47802957,2020-02-01,Other,28_to_32,Male
40626666,2017-12-22,HCMC,23_to_27,Male
17506143,2020-02-24,Other,28_to_32,Female
51752862,2020-02-10,HN,28_to_32,Male
15633440,2020-02-29,Other,33_to_37,Male
11338428,2020-04-20,HCMC,>37,Male
55175553,2020-07-10,Other,unknown,Male
44677765,2018-12-28,HCMC,23_to_27,Male
42662153,2018-07-23,Other,33_to_37,Female
38865727,2017-07-31,Other,unknown,Female
54784606,2020-03-25,Other,23_to_27,Female
54332625,2020-03-19,Unknown,28_to_32,Female
40556993,2017-12-15,Other,28_to_32,Female
3850375,2019-10-13,Other,28_to_32,Male
49582817,2020-01-14,Other,28_to_32,Male
35771100,2019-02-16,Other,23_to_27,Female
15036606,2020-01-09,Other,unknown,Male
58923847,2020-09-26,Unknown,unknown,Female
19048834,2019-01-08,Other,unknown,Male
2048145,2020-02-26,Other,33_to_37,Female
42434817,2018-12-13,Other,23_to_27,Female
45690131,2020-02-08,HCMC,>37,Female
40584436,2018-12-10,Other,28_to_32,Male
38893572,2017-05-24,Other,unknown,Male
59184635,2020-10-06,Other,unknown,Female
48797339,2020-03-18,Other,18_to_22,Male
49940277,2019-10-14,HCMC,unknown,Female
8161000,2019-02-23,HCMC,33_to_37,Male
38622596,2018-11-23,Other,23_to_27,Female
53245734,2020-04-02,HCMC,23_to_27,Female
56083909,2020-05-22,HCMC,28_to_32,Male
41184467,2020-03-28,Other,23_to_27,Male
1598936,2018-06-30,Other,>37,Male
38836349,2018-09-27,Other,23_to_27,Male
5185612,2020-11-20,Other,unknown,Male
50046908,2019-12-03,Other,18_to_22,Male
50115549,2020-05-27,Unknown,unknown,Female
49152525,2019-11-12,HCMC,28_to_32,Male
55085654,2020-08-13,HCMC,18_to_22,Female
40330544,2018-12-05,Other,28_to_32,Male
49361088,2019-09-17,Other,unknown,Male
46903973,2019-07-05,Other,28_to_32,Female
42685631,2019-01-23,Other,unknown,Male
55535617,2020-06-25,Other,28_to_32,Male
36795953,2017-04-05,Other,23_to_27,Male
15520750,2020-02-14,HCMC,33_to_37,Female
49346173,2020-04-25,HN,28_to_32,Female
41494314,2018-04-12,Other,23_to_27,Male
55277547,2020-04-22,HCMC,18_to_22,Male
50609572,2019-11-08,HCMC,unknown,Female
6926284,2019-12-19,HCMC,28_to_32,Male
38867301,2017-07-04,HN,28_to_32,Male
53002352,2020-02-06,Other,>37,Male
52451874,2020-10-01,Other,>37,Male
26449655,2020-02-25,Other,33_to_37,Male
42411018,2020-01-08,Other,18_to_22,Female
43326835,2019-12-14,Unknown,28_to_32,Male
46476945,2019-03-26,HCMC,23_to_27,Female
47644846,2019-07-09,HCMC,>37,Male
56177717,2020-05-27,Other,unknown,Female
43576445,2020-01-28,HCMC,23_to_27,Female
34189587,2017-07-07,HCMC,28_to_32,Male
25048232,2017-11-23,HCMC,23_to_27,Male
700692,2019-07-10,Other,unknown,Female
22425666,2020-11-08,Other,28_to_32,Male
57942912,2020-08-17,Other,unknown,Male
49504325,2020-01-27,HCMC,18_to_22,Male
42128627,2018-06-22,Other,28_to_32,Male
48651043,2019-08-14,Other,unknown,Female
38919157,2018-12-20,HN,28_to_32,Male
48514759,2020-03-09,HN,unknown,Male
50985476,2019-12-17,Other,18_to_22,Male
55192412,2020-04-15,Unknown,28_to_32,Male
14846605,2020-03-17,Other,unknown,Female
54822857,2020-03-27,Other,23_to_27,Male
44643260,2018-12-17,Other,unknown,Female
52770127,2020-03-12,Other,18_to_22,Male
41851200,2018-05-18,Other,28_to_32,Female
33893957,2016-09-23,Other,33_to_37,Male
53292636,2020-02-09,HCMC,28_to_32,Male
52244973,2020-01-03,Other,33_to_37,Female
42509536,2018-07-17,HN,33_to_37,Female
44662096,2018-12-18,Other,23_to_27,Male
49117421,2019-10-26,HCMC,23_to_27,Female
49217506,2019-10-19,Other,23_to_27,Female
50572508,2019-11-30,HCMC,23_to_27,Male
38894351,2020-02-18,Other,23_to_27,Male
42455837,2020-01-10,HCMC,33_to_37,Male
35134954,2018-06-21,Other,33_to_37,Male
41795265,2020-02-25,HCMC,23_to_27,Male
40047649,,HCMC,23_to_27,Male
40968697,2018-02-08,Other,28_to_32,Male
40653881,2018-08-29,Other,28_to_32,Female
29693152,2019-11-05,Other,28_to_32,Male
43064220,2018-08-27,Other,28_to_32,Female
44281390,2018-12-30,Other,unknown,Male
38991899,2017-11-30,HCMC,23_to_27,Male
3539312,2019-12-24,HCMC,33_to_37,Male
54063602,2020-03-01,Other,28_to_32,Male
9312891,2017-04-21,HCMC,28_to_32,Female
39768974,2020-04-18,HCMC,23_to_27,Female
49361494,2020-01-27,HCMC,23_to_27,Male
47881438,2019-08-01,HCMC,>37,Male
44207346,2019-09-16,Unknown,unknown,Male
42738013,2018-08-10,Other,>37,Male
56126013,2020-05-24,Other,28_to_32,Male
41950838,2020-01-09,HCMC,18_to_22,Male
42290253,2018-06-20,Other,23_to_27,Male
41562026,2018-04-13,Unknown,23_to_27,Female
44003711,2018-11-07,HCMC,23_to_27,Female
8155564,2018-06-03,Other,28_to_32,Female
26667924,2019-08-21,Other,23_to_27,Male
51459688,2019-12-06,HN,18_to_22,Male
25738169,2020-04-23,Other,28_to_32,Male
22007639,2019-06-14,Unknown,unknown,Male
52056530,2020-07-01,Other,unknown,Female
46065970,2019-04-23,Other,18_to_22,Male
32239701,2020-05-01,Unknown,unknown,Male
48669742,2019-09-26,HCMC,33_to_37,Male
40659148,2018-03-20,Other,28_to_32,Male
26145041,2019-03-19,HCMC,unknown,Male
46360404,2020-02-20,HN,23_to_27,Male
55900384,2020-05-19,HCMC,33_to_37,Female
48142646,2020-03-27,Other,18_to_22,Female
36645617,2018-09-13,HCMC,23_to_27,Female
45369718,2019-12-29,HCMC,23_to_27,Male
48751829,2020-07-21,Other,>37,Female
39816433,2017-08-30,HCMC,23_to_27,Male
166795,2019-09-18,HN,18_to_22,Female
40983796,2018-11-21,Other,23_to_27,Male
7218084,2018-11-16,Other,>37,Female
45769886,2019-04-11,Other,unknown,Male
43423488,2018-11-16,Unknown,unknown,Male
53571852,2020-03-11,Other,28_to_32,Male
6242293,2019-10-06,HCMC,18_to_22,Female
40818261,2018-02-27,HN,28_to_32,Female
52449727,2020-02-10,Other,28_to_32,Female
47094618,2020-02-19,Other,28_to_32,Female
21738274,2017-05-18,HCMC,28_to_32,Female
40269292,2020-01-18,Other,unknown,Female
39871427,2017-09-04,HN,23_to_27,Male
52852418,2020-01-28,Other,>37,Male
27404052,2018-11-20,HCMC,23_to_27,Female
29333244,2018-10-24,Other,23_to_27,Male
52146002,2020-09-08,Other,unknown,Male
48110610,2019-07-21,Other,23_to_27,Male
50813741,2020-02-23,Other,28_to_32,Male
53552639,2020-07-20,Other,>37,Male
43600289,2020-03-07,Other,23_to_27,Male
50738874,2019-11-14,Other,18_to_22,Female
57331379,2020-07-24,Other,28_to_32,Female
3373534,2020-08-17,Other,unknown,Male
45766069,2019-11-19,HN,18_to_22,Female
47936374,2019-07-10,HCMC,28_to_32,Male
43813187,2019-10-31,Other,18_to_22,Male
46854462,2019-12-11,HCMC,23_to_27,Male
52625738,2020-01-16,Other,18_to_22,Male
58492267,2020-09-10,HCMC,23_to_27,Female
3034320,2019-11-08,Other,18_to_22,Male
51507896,2019-12-08,HN,23_to_27,Male
23813718,2017-06-30,HCMC,28_to_32,Male
29862147,2016-07-05,HCMC,28_to_32,Female
53856112,2020-05-13,Other,18_to_22,Male
47678055,2019-11-03,HCMC,18_to_22,Female
25625045,2018-11-06,Unknown,unknown,Male
51516476,2019-12-23,Other,23_to_27,Male
45786505,2019-08-17,HCMC,18_to_22,Male
46383556,2019-08-15,HCMC,unknown,Female
36102827,2018-06-28,HCMC,33_to_37,Male
20769143,2019-07-04,Other,28_to_32,Female
36535040,2019-09-18,HCMC,23_to_27,Female
2274807,2019-11-27,Unknown,unknown,Female
25091838,2020-02-28,HCMC,unknown,Female
57014804,2020-07-09,Other,unknown,Male
41470906,2018-04-24,Other,23_to_27,Male
54248680,2020-03-09,Other,23_to_27,Male
45930486,2019-07-15,HN,23_to_27,Male
49512570,2019-09-23,HCMC,unknown,Male
46336279,2019-04-03,HCMC,unknown,Female
56473179,2020-07-31,Other,18_to_22,Male
22922914,2020-02-28,HCMC,23_to_27,Female
40260466,2017-11-10,HCMC,23_to_27,Female
38632375,2017-04-21,HN,33_to_37,Male
44394705,2019-09-05,HCMC,23_to_27,Male
45115099,2019-11-20,HCMC,18_to_22,Male
11185847,2019-07-14,Other,unknown,Male
39115927,2018-08-18,Other,28_to_32,Male
6647005,2020-03-22,Other,unknown,Male
9528517,2019-03-23,HCMC,33_to_37,Male
32862255,2018-06-06,Other,28_to_32,Male
41674029,2018-11-04,HN,>37,Male
43928225,2019-05-30,HN,unknown,Male
39244584,2020-04-04,Other,>37,Female
48235646,2019-07-31,HCMC,28_to_32,Male
18133413,2019-10-12,Other,33_to_37,Male
41668244,2018-06-21,HCMC,>37,Female
8262835,2017-12-29,Other,28_to_32,Female
57239554,2020-07-21,Other,unknown,Male
54091643,2020-03-07,HN,unknown,Male
37739771,2019-02-28,HN,>37,Male
12133580,2019-12-26,Other,23_to_27,Male
51718311,2019-12-15,HCMC,23_to_27,Female
43030328,2018-08-24,Other,23_to_27,Female
37263029,2018-08-21,HCMC,23_to_27,Male
43668143,2018-10-09,Other,33_to_37,Male
51781662,2020-09-23,HN,unknown,Female
37376220,2017-02-28,HCMC,23_to_27,Male
42613468,2018-07-19,Unknown,28_to_32,Female
46911059,2019-04-25,Other,unknown,Female
19538754,2016-12-18,HCMC,28_to_32,Female
42546781,2019-03-19,HCMC,unknown,Male
53231655,2020-04-10,Other,23_to_27,Male
39843032,2017-09-10,Unknown,28_to_32,Male
36799091,2018-07-05,Unknown,23_to_27,Male
59403363,2020-10-15,Other,unknown,Male
47894672,2019-08-01,HCMC,>37,Male
49117943,2019-09-03,Other,23_to_27,Female
42385046,2019-02-22,HCMC,28_to_32,Male
50411033,2020-04-23,HCMC,23_to_27,Male
40077417,,HCMC,28_to_32,Female
49160733,2020-01-04,HCMC,18_to_22,Male
56516717,2020-06-13,Other,23_to_27,Male
49689803,2019-10-01,Other,23_to_27,Female
35698491,2016-09-15,HN,>37,Male
46845953,2019-04-21,Other,23_to_27,Male
31803366,2019-05-14,HN,unknown,Female
45745531,2020-02-07,HCMC,23_to_27,Male
39015822,2017-10-16,Other,28_to_32,Female
46697179,2019-04-11,HCMC,unknown,Male
52905305,2020-02-13,Other,23_to_27,Male
48075538,2019-07-10,Other,unknown,Female
43526774,2018-10-23,Other,28_to_32,Male
52751805,2020-01-21,Other,18_to_22,Male
38383370,2017-03-26,HCMC,23_to_27,Female
60258827,2020-11-17,Other,unknown,Female
46045362,2020-01-22,HN,unknown,Female
44135297,2018-12-21,HCMC,>37,Male
41148660,2018-02-22,Other,>37,Female
44288717,2019-12-28,HN,18_to_22,Female
48752241,2020-07-22,Other,unknown,Female
15146933,2020-10-28,Other,28_to_32,Male
36164302,2017-06-16,HCMC,unknown,Male
54981357,2020-09-20,HCMC,18_to_22,Male
28935623,2018-02-02,Other,28_to_32,Male
34416905,2016-06-10,Other,18_to_22,Male
45604074,2019-02-10,Other,28_to_32,Female
31121563,2019-05-15,HCMC,28_to_32,Male
35015412,2016-11-16,HCMC,28_to_32,Female
36743310,2016-12-07,Other,23_to_27,Female
49154307,2019-09-16,Unknown,unknown,Female
42857121,2020-04-29,Other,28_to_32,Male
5072072,2019-08-20,Other,23_to_27,Male
26798462,2019-03-01,Other,23_to_27,Female
47021751,2020-02-29,Other,28_to_32,Female
49544986,2019-10-21,HCMC,23_to_27,Male
45880561,2019-11-23,Other,23_to_27,Male
56806630,2020-10-26,Other,23_to_27,Male
20788364,2020-07-23,Other,unknown,Male
48990796,2020-03-15,Other,23_to_27,Male
59313368,2020-10-11,Other,unknown,Female
49141032,2020-07-20,HCMC,33_to_37,Female
55215367,2020-04-14,HCMC,18_to_22,Male
41880003,2018-08-24,Other,23_to_27,Male
55681341,2020-04-30,Unknown,28_to_32,Female
54478908,2020-05-02,Other,unknown,Female
46261275,2020-08-21,HCMC,28_to_32,Female
54235223,2020-06-19,Other,unknown,Male
44434491,2019-10-10,Unknown,28_to_32,Female
40493989,2017-12-05,HCMC,28_to_32,Male
39100459,2017-08-04,Other,23_to_27,Male
57085040,2020-07-14,HCMC,33_to_37,Male
42116379,2019-01-14,HCMC,18_to_22,Male
49923124,2019-10-22,Other,18_to_22,Female
13036479,2019-11-03,Other,unknown,Male
5095902,2019-07-31,Other,23_to_27,Male
56356953,2020-10-10,HCMC,33_to_37,Female
50754059,2020-04-02,Other,28_to_32,Male
52120211,2019-12-28,HCMC,>37,Male
34004353,2018-03-30,HCMC,23_to_27,Male
50144936,2019-12-02,Unknown,18_to_22,Male
58244768,2020-08-30,HCMC,33_to_37,Female
41404244,2018-06-13,Other,23_to_27,Male
36105910,2017-08-30,HCMC,28_to_32,Male
35005029,2016-02-08,HCMC,23_to_27,Female
53895270,2020-02-23,Other,unknown,Male
47071070,2020-02-10,HCMC,unknown,Female
43044752,2018-08-25,Other,unknown,Male
20183895,2019-08-07,Other,>37,Female
39697377,2020-03-11,Other,33_to_37,Female
16785391,2020-08-06,Other,unknown,Male
6525192,2018-02-11,Other,23_to_27,Male
42501148,2018-07-09,HCMC,28_to_32,Female
42313631,2020-04-22,Other,28_to_32,Male
49643101,2019-09-29,Other,18_to_22,Female
57637402,2020-10-05,HCMC,23_to_27,Female
33919320,2017-08-05,HCMC,28_to_32,Male
47490095,2019-11-25,Other,33_to_37,Male
47385553,2019-12-21,HCMC,18_to_22,Female
37742792,2020-02-10,HCMC,33_to_37,Male
54388866,2020-03-13,Unknown,unknown,Female
27247779,2020-01-13,Unknown,23_to_27,Female
43162483,2018-09-29,Other,33_to_37,Male
45990828,2019-07-06,Unknown,unknown,Female
34752217,2018-04-08,HN,>37,Female
44092820,2019-11-29,Other,33_to_37,Male
52775683,2020-01-25,Other,23_to_27,Male
42349791,2018-06-29,HN,33_to_37,Male
54735085,2020-03-30,Other,33_to_37,Male
2877873,2020-06-15,HCMC,18_to_22,Female
38541145,2020-07-09,Unknown,>37,Female
52398186,2020-03-08,Other,23_to_27,Male
42560232,2019-08-21,Other,23_to_27,Male
51185508,2019-11-28,Other,>37,Female
45936795,2019-03-30,HCMC,>37,Male
53454874,2020-04-19,Other,unknown,Female
21920277,2019-10-08,HCMC,28_to_32,Female
51762557,2020-12-13,Other,18_to_22,Female
51720976,2020-01-01,HCMC,33_to_37,Female
57255510,2020-07-23,Unknown,unknown,Male
56050503,2020-05-23,HCMC,>37,Female
42886416,2019-09-30,Other,23_to_27,Male
42129223,2020-03-09,Other,18_to_22,Female
40062809,,HN,28_to_32,Male
1553625,2018-04-09,Other,28_to_32,Male
42325166,2018-06-24,Other,>37,Male
50516524,2019-11-09,HCMC,23_to_27,Male
36492115,2018-06-15,HCMC,>37,Male
48194603,2020-04-10,HCMC,23_to_27,Male
45131160,2019-06-28,HN,28_to_32,Male
42404180,2018-06-29,Other,unknown,Male
49565675,2019-10-13,Other,23_to_27,Male
42658118,2020-04-02,HCMC,33_to_37,Male
49063937,2020-03-16,Other,unknown,Male
21203234,2019-10-08,HCMC,18_to_22,Female
42196757,2018-06-12,Other,28_to_32,Male
49642881,2019-12-20,HCMC,18_to_22,Male
6483747,2019-03-11,HN,33_to_37,Female
52061920,2020-05-05,Other,33_to_37,Male
36617499,2017-11-27,HN,23_to_27,Male
56017576,2020-05-19,Unknown,unknown,Male
7503567,2018-12-06,Other,23_to_27,Female
44692525,2019-09-07,HCMC,23_to_27,Female
33986155,2018-03-04,HCMC,>37,Male
44513395,2020-04-10,Other,28_to_32,Male
47111705,2019-05-08,HCMC,23_to_27,Female
38712257,2017-04-29,Other,>37,Male
42758059,2018-10-25,HCMC,28_to_32,Female
21199039,2019-07-30,HN,23_to_27,Female
49319785,2019-09-24,Other,33_to_37,Male
58159259,2020-10-01,HN,33_to_37,Male
53228702,2020-02-29,Unknown,unknown,Male
43171556,2019-01-31,HN,33_to_37,Female
28228939,2016-06-16,Other,28_to_32,Male
55845896,2020-05-09,Other,18_to_22,Male
37079615,2017-07-12,HCMC,unknown,Female
31048343,2017-12-08,Other,23_to_27,Male
53692499,2020-02-18,HCMC,28_to_32,Male
52457085,2020-02-13,Other,28_to_32,Male
52692854,2020-05-20,HCMC,28_to_32,Female
35836440,2018-03-27,HN,unknown,Male
26432182,2019-08-28,Other,unknown,Female
49065837,2019-09-03,Unknown,unknown,Female
9689625,2019-06-22,HCMC,unknown,Male
42582943,2020-02-15,Other,18_to_22,Female
28772475,2019-04-20,Other,28_to_32,Male
49308389,2020-07-08,Other,28_to_32,Male
10591870,2019-11-26,Other,33_to_37,Female
42951243,2018-08-17,Other,33_to_37,Male
43994020,2019-10-30,HN,unknown,Female
49286118,2019-09-12,Other,28_to_32,Male
41783567,2019-03-25,HCMC,33_to_37,Male
48466923,2019-08-02,Other,28_to_32,Male
53826403,2020-02-22,HN,unknown,Male
58729446,2020-11-03,Other,unknown,Male
44493946,2018-12-14,HCMC,23_to_27,Female
